Id,Артикул,Название товара,Цвет,Аромат,Размер,Цена,Старая цена,Высота,Ширина,Объем,Диаметр,Комплектация / Информация о размере,Материал,Состав,Детали,Коллекция,Капсула,Категория,Подкатегория,Товар входит в готовое решение,Опционально входит в готовое решение,Описание готового решения,Превью фотография товара,Вторая фотография товара в скролле,Третья фотография в стролле
3,KD-PD-1023,Подушка с кружевом,Белый,,60x60 см,5 990 ₽,,60 см,60 см,,,,Хлопок,Внешняя часть: 100% Хлопок Наполнитель: 100% Пух,Кружево,,Лунная сказка,Пледы и подушки,Декоративные подушки,Зимняя сказка,,,https://kssafonova.github.io/images/imported-products/KD-PD-1023-WHITE01.png,https://kssafonova.github.io/images/imported-products/KD-PD-1023-WHITE02.png,
2,KD-PD-1023,Подушка с кружевом,Молочный,,60x60 см,5 990 ₽,,60 см,60 см,,,,Хлопок,Внешняя часть: 100% Хлопок Наполнитель: 100% Пух,Кружево,,Лунная сказка,Пледы и подушки,Декоративные подушки,Зимняя сказка,,,https://kssafonova.github.io/images/imported-products/KD-PD-1023-BEIGE01.png,https://kssafonova.github.io/images/imported-products/KD-PD-1023-BEIGE02.png,
1,KD-PD-1023,Подушка с кружевом,Синий,,60x60 см,5 990 ₽,,60 см,60 см,,,,Хлопок,Внешняя часть: 100% Хлопок  Наполнитель: 100% Пух,Кружево,,Лунная сказка,Пледы и подушки,Декоративные подушки,Зимняя сказка,,,https://kssafonova.github.io/images/imported-products/KD-PD-1023-BLUE01.png,https://kssafonova.github.io/images/imported-products/KD-PD-1023-BLUE02.png,
5,KD-PD-1026,Плед из кружева,Белый,,200x220 см,12 990 ₽,,200 см,220 см,,,,Хлопок,70% хлопок\n30% лен,Кружево,,Лунная сказка,Пледы и подушки,Плед,Зимняя сказка,,,https://kssafonova.github.io/images/imported-products/KD-PD-1026-WHITE01.png,https://kssafonova.github.io/images/imported-products/KD-PD-1026-WHITE02.png,
6,KD-PD-1026,Плед из кружева,Молочный,,200x220 см,12 990 ₽,,200 см,220 см,,,,Хлопок,70% хлопок\n30% лен,Кружево,,Лунная сказка,Пледы и подушки,Плед,Зимняя сказка,,,https://kssafonova.github.io/images/imported-products/KD-PD-1026-BEIGE01.png,https://kssafonova.github.io/images/imported-products/KD-PD-1026-BEIGE02.png,
4,KD-PD-1026,Плед из кружева,Синий,,200x220 см,12 990 ₽,,200 см,220 см,,,,Хлопок,70% хлопок\n30% лен,Кружево,,Лунная сказка,Пледы и подушки,Плед,Зимняя сказка,,,https://kssafonova.github.io/images/imported-products/KD-PD-1026-BLUE01.png,https://kssafonova.github.io/images/imported-products/KD-PD-1026-BLUE02.png,
7,KD-PD-1027,Стёганое покрывало «Бархатный ритм»,Молочный,,Евро 200×220 см,8 690 ₽,,200 см,220 см,,,,Микровелюр,Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно,,Бархат,,Пледы и подушки,Покрывало,Зимняя сказка Пламя морских глубин,,,https://kssafonova.github.io/images/imported-products/KD-PD-1027-MOL01.png,https://kssafonova.github.io/images/imported-products/KD-PD-1027-MOL02.png,
7,KD-PD-1027,Стёганое покрывало «Бархатный ритм»,Молочный,,Кинг сайз 220×240 см,8 690 ₽,,220 см,240 см,,,,Микровелюр,Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно,,Бархат,,Пледы и подушки,Покрывало,Зимняя сказка Пламя морских глубин,,,https://kssafonova.github.io/images/imported-products/KD-PD-1027-MOL01.png,https://kssafonova.github.io/images/imported-products/KD-PD-1027-MOL02.png,
7,KD-PD-1027,Стёганое покрывало «Бархатный ритм»,Серо-синий,,Евро 200×220 см,8 690 ₽,,200 см,220 см,,,,Микровелюр,Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно,,Бархат,,Пледы и подушки,Покрывало,Зимняя сказка Пламя морских глубин,,,https://kssafonova.github.io/images/imported-products/KD-PD-1027-PES01.png,,
7,KD-PD-1027,Стёганое покрывало «Бархатный ритм»,Серо-синий,,Кинг сайз 220×240 см,8 690 ₽,,220 см,240 см,,,,Микровелюр,Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно,,Бархат,,Пледы и подушки,Покрывало,Зимняя сказка Пламя морских глубин,,,https://kssafonova.github.io/images/imported-products/KD-PD-1027-PES01.png,,
